"GeographyCode","QS603EW0001","QS603EW0002","QS603EW0003","QS603EW0004"
"E00032987",18,9,3,6
"E00032988",47,17,6,24
"E00032989",54,14,8,32
"E00032990",53,12,3,38
"E00032991",53,16,0,37
"E00032992",52,8,3,41
"E00032993",53,12,7,34
"E00032994",11,3,3,5
"E00032995",20,2,4,14
"E00032996",20,5,3,12
"E00032997",17,6,1,10
"E00032998",23,8,1,14
"E00032999",87,30,4,53
"E00033000",15,3,1,11
"E00033002",24,8,4,12
"E00033004",19,4,2,13
"E00033005",25,3,2,20
"E00033006",18,4,4,10
"E00033007",18,2,2,14
"E00033008",23,5,4,14
"E00033012",11,1,0,10
"E00033013",40,7,4,29
"E00033015",95,7,7,81
"E00033016",309,16,16,277
"E00033018",206,74,27,105
"E00033019",111,30,7,74
"E00033020",97,35,8,54
"E00033021",17,5,0,12
"E00033023",228,82,18,128
"E00033024",7,2,0,5
"E00033025",15,10,0,5
"E00033026",7,5,0,2
"E00033027",57,24,3,30
"E00033029",13,8,0,5
"E00033030",106,24,14,68
"E00033031",34,8,4,22
"E00033032",38,12,5,21
"E00033033",24,10,2,12
"E00033034",18,5,1,12
"E00033035",14,2,1,11
"E00033036",4,0,1,3
"E00033037",8,2,2,4
"E00033038",13,5,2,6
"E00033040",34,3,1,30
"E00033041",19,11,1,7
"E00033042",28,10,0,18
"E00033043",17,8,1,8
"E00033044",20,6,3,11
"E00033045",12,2,2,8
"E00033046",7,5,0,2
"E00033047",14,4,0,10
"E00033048",16,6,2,8
"E00033049",30,9,1,20
"E00033050",17,7,0,10
"E00033051",21,3,4,14
"E00033052",80,27,3,50
"E00033053",36,14,5,17
"E00033054",9,2,3,4
"E00033055",13,6,1,6
"E00033056",13,8,0,5
"E00033057",20,9,0,11
"E00033059",6,1,0,5
"E00033060",8,2,0,6
"E00033061",23,8,4,11
"E00033062",20,4,2,14
"E00033063",12,1,0,11
"E00033064",15,6,0,9
"E00033065",24,5,2,17
"E00033066",16,9,0,7
"E00033067",14,4,2,8
"E00033068",37,13,3,21
"E00033069",12,5,1,6
"E00033070",23,9,1,13
"E00033071",19,7,2,10
"E00033072",48,21,6,21
"E00033073",16,7,3,6
"E00033074",10,4,0,6
"E00033075",5,2,3,0
"E00033076",13,0,1,12
"E00033077",21,8,0,13
"E00033078",22,2,13,7
"E00033079",14,8,2,4
"E00033080",3,0,0,3
"E00033081",8,2,3,3
"E00033082",24,7,0,17
"E00033083",30,8,1,21
"E00033084",14,4,2,8
"E00033085",17,8,0,9
"E00033086",13,2,0,11
"E00033087",43,7,4,32
"E00033088",16,4,4,8
"E00033089",21,7,4,10
"E00033090",30,10,1,19
"E00033091",28,9,3,16
"E00033092",20,11,3,6
"E00033093",18,5,1,12
"E00033094",13,4,2,7
"E00033095",39,21,0,18
"E00033096",9,5,1,3
"E00033097",24,7,2,15
"E00033098",15,3,0,12
"E00033099",9,2,1,6
"E00033100",7,3,0,4
"E00033101",7,4,0,3
"E00033102",22,6,4,12
"E00033103",23,7,3,13
"E00033104",24,6,1,17
"E00033105",16,4,2,10
"E00033106",17,3,1,13
"E00033107",30,13,5,12
"E00033108",25,8,0,17
"E00033109",14,4,1,9
"E00033110",19,7,4,8
"E00033112",23,6,0,17
"E00033113",15,6,0,9
"E00033114",19,7,3,9
"E00033115",7,2,0,5
"E00033116",2,1,0,1
"E00033117",26,7,1,18
"E00033118",31,13,3,15
"E00033119",15,1,2,12
"E00033120",21,4,2,15
"E00033121",5,2,0,3
"E00033122",14,5,0,9
"E00033123",6,3,1,2
"E00033124",20,8,2,10
"E00033125",11,2,3,6
"E00033126",16,6,3,7
"E00033127",27,12,1,14
"E00033128",17,4,3,10
"E00033129",29,12,4,13
"E00033130",35,10,5,20
"E00033131",20,5,2,13
"E00033132",26,11,0,15
"E00033133",39,9,2,28
"E00033134",11,1,1,9
"E00033135",30,6,2,22
"E00033136",13,3,2,8
"E00033137",22,3,12,7
"E00033138",3,0,0,3
"E00033139",13,5,2,6
"E00033140",6,2,1,3
"E00033141",10,3,1,6
"E00033142",24,8,4,12
"E00033143",6,3,0,3
"E00033144",3,1,0,2
"E00033145",20,5,2,13
"E00033146",19,3,1,15
"E00033147",24,9,3,12
"E00033148",14,4,1,9
"E00033149",13,2,1,10
"E00033150",21,5,3,13
"E00033151",14,1,0,13
"E00033152",43,6,6,31
"E00033153",20,5,2,13
"E00033154",12,6,0,6
"E00033155",18,4,3,11
"E00033156",16,7,3,6
"E00033157",47,15,5,27
"E00033158",33,13,1,19
"E00033159",14,3,1,10
"E00033160",37,5,4,28
"E00033161",21,4,0,17
"E00033162",36,8,4,24
"E00033163",25,6,4,15
"E00033164",26,6,4,16
"E00033165",8,3,2,3
"E00033166",3,2,1,0
"E00033167",14,6,0,8
"E00033168",14,4,3,7
"E00033169",33,13,2,18
"E00033170",21,6,2,13
"E00033171",21,11,3,7
"E00033172",14,4,0,10
"E00033173",24,8,2,14
"E00033174",16,4,3,9
"E00033175",20,3,1,16
"E00033176",28,10,2,16
"E00033177",17,5,0,12
"E00033178",10,3,1,6
"E00033179",29,5,2,22
"E00033181",172,47,6,119
"E00033182",84,23,6,55
"E00033183",323,88,29,206
"E00033185",168,47,10,111
"E00033186",151,53,21,77
"E00033187",24,8,1,15
"E00033188",117,38,13,66
"E00033189",72,12,11,49
"E00033190",42,14,5,23
"E00033191",282,68,21,193
"E00033192",287,48,23,216
"E00033193",128,39,9,80
"E00033194",152,31,14,107
"E00033195",50,7,5,38
"E00033196",25,9,3,13
"E00033197",9,2,1,6
"E00033198",184,62,12,110
"E00033199",3,1,0,2
"E00033200",58,26,4,28
"E00033201",85,31,8,46
"E00033202",149,37,10,102
"E00033203",47,10,3,34
"E00033204",61,13,5,43
"E00033206",373,54,39,280
"E00033207",28,13,2,13
"E00033208",23,4,8,11
"E00033209",31,9,1,21
"E00033210",56,13,3,40
"E00033211",40,10,1,29
"E00033212",29,1,3,25
"E00033213",208,48,19,141
"E00033214",112,16,23,73
"E00033215",38,14,3,21
"E00033216",22,4,7,11
"E00033217",48,15,8,25
"E00033218",30,7,5,18
"E00033219",107,27,10,70
"E00033220",226,45,18,163
"E00033221",48,13,6,29
"E00033222",3,1,1,1
"E00033223",46,10,4,32
"E00033224",22,4,4,14
"E00033225",18,0,2,16
"E00033226",28,6,3,19
"E00033227",14,2,2,10
"E00033228",8,3,1,4
"E00033229",12,4,0,8
"E00033230",10,4,1,5
"E00033231",7,1,0,6
"E00033235",12,3,1,8
"E00033237",25,5,8,12
"E00033238",34,8,1,25
"E00033242",12,2,2,8
"E00033245",21,5,4,12
"E00033246",22,4,5,13
"E00033247",20,9,0,11
"E00033248",2,0,0,2
