"GeographyCode","KS601EW0001","KS601EW0002","KS601EW0003","KS601EW0004","KS601EW0005","KS601EW0006","KS601EW0007","KS601EW0008","KS601EW0009","KS601EW0010","KS601EW0011","KS601EW0012","KS601EW0013","KS601EW0014","KS601EW0015","KS601EW0016","KS601EW0017","KS601EW0018","KS601EW0019","KS601EW0020","KS601EW0021","KS601EW0022","KS601EW0023","KS601EW0024","KS601EW0025","KS601EW0026","KS601EW0027","KS601EW0028","KS601EW0029"
"E00032987",157,22,59,9,13,12,17,6,8,8,3,2,2,5,3,14.0127388535032,37.5796178343949,5.73248407643312,8.28025477707006,7.64331210191083,10.828025477707,3.82165605095541,5.09554140127389,5.09554140127389,1.91082802547771,1.27388535031847,1.27388535031847,3.18471337579618,1.91082802547771
"E00032988",314,29,85,27,28,23,34,26,6,46,10,5,5,6,13,9.23566878980892,27.0700636942675,8.59872611464968,8.9171974522293,7.32484076433121,10.828025477707,8.28025477707006,1.91082802547771,14.6496815286624,3.18471337579618,1.59235668789809,1.59235668789809,1.91082802547771,4.14012738853503
"E00032989",294,37,83,20,19,22,13,38,7,45,10,1,7,2,10,12.5850340136054,28.2312925170068,6.80272108843537,6.46258503401361,7.48299319727891,4.42176870748299,12.9251700680272,2.38095238095238,15.3061224489796,3.40136054421769,0.340136054421769,2.38095238095238,0.680272108843537,3.40136054421769
"E00032990",289,32,99,17,25,15,22,39,3,25,12,5,3,4,12,11.0726643598616,34.2560553633218,5.88235294117647,8.65051903114187,5.19031141868512,7.61245674740484,13.4948096885813,1.03806228373702,8.65051903114187,4.1522491349481,1.73010380622837,1.03806228373702,1.3840830449827,4.1522491349481
"E00032991",300,34,104,13,37,16,5,37,5,42,7,6,5,2,26,11.3333333333333,34.6666666666667,4.33333333333333,12.3333333333333,5.33333333333333,1.66666666666667,12.3333333333333,1.66666666666667,14,2.33333333333333,2,1.66666666666667,0.666666666666667,8.66666666666667
"E00032992",219,24,54,6,32,11,5,41,0,41,5,8,2,2,21,10.958904109589,24.6575342465753,2.73972602739726,14.6118721461187,5.02283105022831,2.28310502283105,18.7214611872146,0,18.7214611872146,2.28310502283105,3.65296803652968,0.91324200913242,0.91324200913242,9.58904109589041
"E00032993",245,28,90,19,18,19,12,34,6,13,6,2,1,3,3,11.4285714285714,36.734693877551,7.75510204081633,7.34693877551021,7.75510204081633,4.89795918367347,13.8775510204082,2.44897959183673,5.30612244897959,2.44897959183673,0.816326530612245,0.408163265306122,1.22448979591837,1.22448979591837
"E00032994",76,7,14,6,3,6,11,5,4,15,5,0,0,0,2,9.21052631578947,18.4210526315789,7.89473684210526,3.94736842105263,7.89473684210526,14.4736842105263,6.57894736842105,5.26315789473684,19.7368421052632,6.57894736842105,0,0,0,2.63157894736842
"E00032995",190,22,48,4,17,6,26,14,8,38,7,6,3,7,4,11.5789473684211,25.2631578947368,2.10526315789474,8.94736842105263,3.15789473684211,13.6842105263158,7.36842105263158,4.21052631578947,20,3.68421052631579,3.15789473684211,1.57894736842105,3.68421052631579,2.10526315789474
"E00032996",284,28,70,8,22,8,55,15,18,46,14,4,3,8,7,9.85915492957746,24.6478873239437,2.8169014084507,7.74647887323944,2.8169014084507,19.3661971830986,5.28169014084507,6.33802816901408,16.1971830985916,4.92957746478873,1.40845070422535,1.05633802816901,2.8169014084507,2.46478873239437
"E00032997",157,28,48,8,12,7,14,10,6,19,5,2,1,5,5,17.8343949044586,30.5732484076433,5.09554140127389,7.64331210191083,4.45859872611465,8.9171974522293,6.36942675159236,3.82165605095541,12.1019108280255,3.18471337579618,1.27388535031847,0.636942675159236,3.18471337579618,3.18471337579618
"E00032998",262,34,92,23,13,9,27,14,14,30,6,3,3,3,4,12.9770992366412,35.1145038167939,8.77862595419847,4.9618320610687,3.43511450381679,10.3053435114504,5.34351145038168,5.34351145038168,11.4503816793893,2.29007633587786,1.14503816793893,1.14503816793893,1.14503816793893,1.52671755725191
"E00032999",329,39,101,21,28,34,11,57,5,22,11,6,3,10,6,11.854103343465,30.6990881458967,6.38297872340426,8.51063829787234,10.3343465045593,3.3434650455927,17.3252279635258,1.51975683890578,6.68693009118541,3.3434650455927,1.82370820668693,0.911854103343465,3.03951367781155,1.82370820668693
"E00033000",103,8,27,1,8,4,21,11,10,10,3,1,1,1,3,7.76699029126214,26.2135922330097,0.970873786407767,7.76699029126214,3.88349514563107,20.3883495145631,10.6796116504854,9.70873786407767,9.70873786407767,2.9126213592233,0.970873786407767,0.970873786407767,0.970873786407767,2.9126213592233
"E00033002",187,19,62,8,15,12,16,12,7,23,13,0,4,0,7,10.1604278074866,33.1550802139037,4.27807486631016,8.02139037433155,6.41711229946524,8.55614973262032,6.41711229946524,3.74331550802139,12.2994652406417,6.95187165775401,0,2.13903743315508,0,3.74331550802139
"E00033004",234,20,127,34,10,6,16,13,2,5,1,3,1,0,5,8.54700854700855,54.2735042735043,14.5299145299145,4.27350427350427,2.56410256410256,6.83760683760684,5.55555555555556,0.854700854700855,2.13675213675214,0.427350427350427,1.28205128205128,0.427350427350427,0,2.13675213675214
"E00033005",268,43,65,5,17,5,49,20,10,40,14,4,5,2,9,16.044776119403,24.2537313432836,1.86567164179104,6.34328358208955,1.86567164179104,18.2835820895522,7.46268656716418,3.73134328358209,14.9253731343284,5.22388059701492,1.49253731343284,1.86567164179104,0.746268656716418,3.35820895522388
"E00033006",199,31,63,7,12,8,27,11,11,23,6,4,2,3,6,15.5778894472362,31.6582914572864,3.51758793969849,6.03015075376884,4.02010050251256,13.5678391959799,5.52763819095477,5.52763819095477,11.5577889447236,3.01507537688442,2.01005025125628,1.00502512562814,1.50753768844221,3.01507537688442
"E00033007",228,31,31,14,17,4,35,15,14,45,22,4,7,4,8,13.5964912280702,13.5964912280702,6.14035087719298,7.45614035087719,1.75438596491228,15.3508771929825,6.57894736842105,6.14035087719298,19.7368421052632,9.64912280701754,1.75438596491228,3.07017543859649,1.75438596491228,3.50877192982456
"E00033008",240,35,32,5,29,9,28,16,21,48,17,6,5,9,14,14.5833333333333,13.3333333333333,2.08333333333333,12.0833333333333,3.75,11.6666666666667,6.66666666666667,8.75,20,7.08333333333333,2.5,2.08333333333333,3.75,5.83333333333333
"E00033012",138,14,55,22,3,1,20,10,4,6,3,1,1,0,1,10.1449275362319,39.8550724637681,15.9420289855072,2.17391304347826,0.72463768115942,14.4927536231884,7.2463768115942,2.89855072463768,4.34782608695652,2.17391304347826,0.72463768115942,0.72463768115942,0,0.72463768115942
"E00033013",168,16,58,6,4,11,10,32,7,15,9,0,0,1,2,9.52380952380952,34.5238095238095,3.57142857142857,2.38095238095238,6.54761904761905,5.95238095238095,19.047619047619,4.16666666666667,8.92857142857143,5.35714285714286,0,0,0.595238095238095,1.19047619047619
"E00033015",184,9,49,4,4,14,8,82,6,4,4,1,0,2,1,4.89130434782609,26.6304347826087,2.17391304347826,2.17391304347826,7.60869565217391,4.34782608695652,44.5652173913043,3.26086956521739,2.17391304347826,2.17391304347826,0.543478260869565,0,1.08695652173913,0.543478260869565
"E00033016",496,29,71,12,19,32,7,290,22,9,5,5,3,3,9,5.84677419354839,14.3145161290323,2.41935483870968,3.83064516129032,6.45161290322581,1.41129032258065,58.4677419354839,4.43548387096774,1.81451612903226,1.00806451612903,1.00806451612903,0.604838709677419,0.604838709677419,1.81451612903226
